Timestamp,Hour,Day,Weekday,Is_Weekend,Consumption_Liters
2024-01-01 00:00:00,0,1,0,0,1.25
2024-01-01 01:00:00,1,1,0,0,0.93
2024-01-01 02:00:00,2,1,0,0,0.88
2024-01-01 03:00:00,3,1,0,0,0.88
2024-01-01 04:00:00,4,1,0,0,6.7
2024-01-01 05:00:00,5,1,0,0,1.38
2024-01-01 06:00:00,6,1,0,0,4.42
2024-01-01 07:00:00,7,1,0,0,4.47
2024-01-01 08:00:00,8,1,0,0,2.39
2024-01-01 09:00:00,9,1,0,0,5.95
2024-01-01 10:00:00,10,1,0,0,2.7
2024-01-01 11:00:00,11,1,0,0,2.48
2024-01-01 12:00:00,12,1,0,0,2.56
2024-01-01 13:00:00,13,1,0,0,3.42
2024-01-01 14:00:00,14,1,0,0,3.09
2024-01-01 15:00:00,15,1,0,0,2.64
2024-01-01 16:00:00,16,1,0,0,2.58
2024-01-01 17:00:00,17,1,0,0,3.66
2024-01-01 18:00:00,18,1,0,0,4.77
2024-01-01 19:00:00,19,1,0,0,10.53
2024-01-01 20:00:00,20,1,0,0,6.99
2024-01-01 21:00:00,21,1,0,0,4.53
2024-01-01 22:00:00,22,1,0,0,4.41
2024-01-01 23:00:00,23,1,0,0,2.1
2024-01-02 00:00:00,0,2,1,0,1.37
2024-01-02 01:00:00,1,2,1,0,1.09
2024-01-02 02:00:00,2,2,1,0,0.94
2024-01-02 03:00:00,3,2,1,0,0.85
2024-01-02 04:00:00,4,2,1,0,0.77
2024-01-02 05:00:00,5,2,1,0,1.53
2024-01-02 06:00:00,6,2,1,0,5.32
2024-01-02 07:00:00,7,2,1,0,4.61
2024-01-02 08:00:00,8,2,1,0,8.77
2024-01-02 09:00:00,9,2,1,0,5.61
2024-01-02 10:00:00,10,2,1,0,3.63
2024-01-02 11:00:00,11,2,1,0,3.53
2024-01-02 12:00:00,12,2,1,0,1.94
2024-01-02 13:00:00,13,2,1,0,3.77
2024-01-02 14:00:00,14,2,1,0,3.83
2024-01-02 15:00:00,15,2,1,0,2.37
2024-01-02 16:00:00,16,2,1,0,2.27
2024-01-02 17:00:00,17,2,1,0,2.95
2024-01-02 18:00:00,18,2,1,0,7.79
2024-01-02 19:00:00,19,2,1,0,6.41
2024-01-02 20:00:00,20,2,1,0,5.52
2024-01-02 21:00:00,21,2,1,0,9.84
2024-01-02 22:00:00,22,2,1,0,6.11
2024-01-02 23:00:00,23,2,1,0,1.01
2024-01-03 00:00:00,0,3,2,0,1.74
2024-01-03 01:00:00,1,3,2,0,0.74
2024-01-03 02:00:00,2,3,2,0,0.6
2024-01-03 03:00:00,3,3,2,0,0.75
2024-01-03 04:00:00,4,3,2,0,1.46
2024-01-03 05:00:00,5,3,2,0,1.16
2024-01-03 06:00:00,6,3,2,0,5.1
2024-01-03 07:00:00,7,3,2,0,5.97
2024-01-03 08:00:00,8,3,2,0,4.3
2024-01-03 09:00:00,9,3,2,0,4.67
2024-01-03 10:00:00,10,3,2,0,6.74
2024-01-03 11:00:00,11,3,2,0,3.18
2024-01-03 12:00:00,12,3,2,0,2.72
2024-01-03 13:00:00,13,3,2,0,2.8
2024-01-03 14:00:00,14,3,2,0,3.15
2024-01-03 15:00:00,15,3,2,0,1.58
2024-01-03 16:00:00,16,3,2,0,2.99
2024-01-03 17:00:00,17,3,2,0,1.83
2024-01-03 18:00:00,18,3,2,0,6.12
2024-01-03 19:00:00,19,3,2,0,5.48
2024-01-03 20:00:00,20,3,2,0,6.57
2024-01-03 21:00:00,21,3,2,0,5.69
2024-01-03 22:00:00,22,3,2,0,6.41
2024-01-03 23:00:00,23,3,2,0,2.0
2024-01-04 00:00:00,0,4,3,0,0.61
2024-01-04 01:00:00,1,4,3,0,1.39
2024-01-04 02:00:00,2,4,3,0,1.7
2024-01-04 03:00:00,3,4,3,0,1.7
2024-01-04 04:00:00,4,4,3,0,0.75
2024-01-04 05:00:00,5,4,3,0,5.23
2024-01-04 06:00:00,6,4,3,0,3.45
2024-01-04 07:00:00,7,4,3,0,5.07
2024-01-04 08:00:00,8,4,3,0,4.08
2024-01-04 09:00:00,9,4,3,0,6.55
2024-01-04 10:00:00,10,4,3,0,2.45
2024-01-04 11:00:00,11,4,3,0,2.77
2024-01-04 12:00:00,12,4,3,0,3.57
2024-01-04 13:00:00,13,4,3,0,2.14
2024-01-04 14:00:00,14,4,3,0,1.87
2024-01-04 15:00:00,15,4,3,0,3.13
2024-01-04 16:00:00,16,4,3,0,3.18
2024-01-04 17:00:00,17,4,3,0,3.55
2024-01-04 18:00:00,18,4,3,0,6.63
2024-01-04 19:00:00,19,4,3,0,6.36
2024-01-04 20:00:00,20,4,3,0,5.18
2024-01-04 21:00:00,21,4,3,0,6.28
2024-01-04 22:00:00,22,4,3,0,8.83
2024-01-04 23:00:00,23,4,3,0,1.64
2024-01-05 00:00:00,0,5,4,0,1.52
2024-01-05 01:00:00,1,5,4,0,1.66
2024-01-05 02:00:00,2,5,4,0,0.62
2024-01-05 03:00:00,3,5,4,0,0.43
2024-01-05 04:00:00,4,5,4,0,1.21
2024-01-05 05:00:00,5,5,4,0,1.47
2024-01-05 06:00:00,6,5,4,0,3.63
2024-01-05 07:00:00,7,5,4,0,4.23
2024-01-05 08:00:00,8,5,4,0,5.88
2024-01-05 09:00:00,9,5,4,0,4.76
2024-01-05 10:00:00,10,5,4,0,4.91
2024-01-05 11:00:00,11,5,4,0,3.07
2024-01-05 12:00:00,12,5,4,0,6.26
2024-01-05 13:00:00,13,5,4,0,3.68
2024-01-05 14:00:00,14,5,4,0,7.63
2024-01-05 15:00:00,15,5,4,0,3.5
2024-01-05 16:00:00,16,5,4,0,2.68
2024-01-05 17:00:00,17,5,4,0,3.54
2024-01-05 18:00:00,18,5,4,0,4.89
2024-01-05 19:00:00,19,5,4,0,5.38
2024-01-05 20:00:00,20,5,4,0,6.76
2024-01-05 21:00:00,21,5,4,0,8.12
2024-01-05 22:00:00,22,5,4,0,7.27
2024-01-05 23:00:00,23,5,4,0,2.03
2024-01-06 00:00:00,0,6,5,1,0.57
2024-01-06 01:00:00,1,6,5,1,2.1
2024-01-06 02:00:00,2,6,5,1,1.16
2024-01-06 03:00:00,3,6,5,1,1.72
2024-01-06 04:00:00,4,6,5,1,1.23
2024-01-06 05:00:00,5,6,5,1,1.12
2024-01-06 06:00:00,6,6,5,1,5.77
2024-01-06 07:00:00,7,6,5,1,7.37
2024-01-06 08:00:00,8,6,5,1,4.7
2024-01-06 09:00:00,9,6,5,1,7.5
2024-01-06 10:00:00,10,6,5,1,2.53
2024-01-06 11:00:00,11,6,5,1,3.66
2024-01-06 12:00:00,12,6,5,1,1.96
2024-01-06 13:00:00,13,6,5,1,3.54
2024-01-06 14:00:00,14,6,5,1,3.76
2024-01-06 15:00:00,15,6,5,1,3.78
2024-01-06 16:00:00,16,6,5,1,5.07
2024-01-06 17:00:00,17,6,5,1,4.22
2024-01-06 18:00:00,18,6,5,1,9.62
2024-01-06 19:00:00,19,6,5,1,8.01
2024-01-06 20:00:00,20,6,5,1,7.46
2024-01-06 21:00:00,21,6,5,1,7.95
2024-01-06 22:00:00,22,6,5,1,6.38
2024-01-06 23:00:00,23,6,5,1,4.76
2024-01-07 00:00:00,0,7,6,1,1.29
2024-01-07 01:00:00,1,7,6,1,2.28
2024-01-07 02:00:00,2,7,6,1,1.06
2024-01-07 03:00:00,3,7,6,1,1.21
2024-01-07 04:00:00,4,7,6,1,0.81
2024-01-07 05:00:00,5,7,6,1,2.29
2024-01-07 06:00:00,6,7,6,1,4.95
2024-01-07 07:00:00,7,7,6,1,5.24
2024-01-07 08:00:00,8,7,6,1,5.29
2024-01-07 09:00:00,9,7,6,1,5.87
2024-01-07 10:00:00,10,7,6,1,2.7
2024-01-07 11:00:00,11,7,6,1,4.49
2024-01-07 12:00:00,12,7,6,1,2.16
2024-01-07 13:00:00,13,7,6,1,2.74
2024-01-07 14:00:00,14,7,6,1,5.01
2024-01-07 15:00:00,15,7,6,1,3.42
2024-01-07 16:00:00,16,7,6,1,3.34
2024-01-07 17:00:00,17,7,6,1,3.68
2024-01-07 18:00:00,18,7,6,1,7.29
2024-01-07 19:00:00,19,7,6,1,6.17
2024-01-07 20:00:00,20,7,6,1,4.23
2024-01-07 21:00:00,21,7,6,1,6.7
2024-01-07 22:00:00,22,7,6,1,6.01
2024-01-07 23:00:00,23,7,6,1,2.53
2024-01-08 00:00:00,0,8,0,0,1.31
2024-01-08 01:00:00,1,8,0,0,1.68
2024-01-08 02:00:00,2,8,0,0,0.78
2024-01-08 03:00:00,3,8,0,0,1.1
2024-01-08 04:00:00,4,8,0,0,1.58
2024-01-08 05:00:00,5,8,0,0,0.76
2024-01-08 06:00:00,6,8,0,0,4.34
2024-01-08 07:00:00,7,8,0,0,6.36
2024-01-08 08:00:00,8,8,0,0,2.96
2024-01-08 09:00:00,9,8,0,0,6.57
2024-01-08 10:00:00,10,8,0,0,2.79
2024-01-08 11:00:00,11,8,0,0,3.0
2024-01-08 12:00:00,12,8,0,0,3.89
2024-01-08 13:00:00,13,8,0,0,3.54
2024-01-08 14:00:00,14,8,0,0,1.99
2024-01-08 15:00:00,15,8,0,0,2.41
